file,function
server/canonical-report.js,firstDefined
server/canonical-report.js,locationValues
server/canonical-report.js,canonicalFromReport
server/canonical-report.js,canonicalHeaders
server/canonical-report.js,canonicalRow
server/canonical-report.js,canonicalRecordFromRow
server/app.js,preview
server/app.js,createApp
server/db-store.js,getReference
server/db-store.js,getCropVarieties
server/db-store.js,getReports
server/db-store.js,findReport
server/db-store.js,saveReport
server/db-store.js,updateReport
server/db-store.js,deleteReport
server/db-store.js,nextReportId
server/db-store.js,addPestObservation
server/db-store.js,addDiseaseObservation
server/db-store.js,getStats
server/db-store.js,enrichReportRow
server/db-store.js,deriveStatus
server/admin-users.controller.test.js,clearModules
server/admin-users.controller.test.js,fake
server/admin-crop-variety.controller.test.js,loadController
server/admin-crop-variety.controller.test.js,response
server/pest.store.test.js,loadStoreWithMockDb
server/pest.store.test.js,result
server/pest.store.test.js,runQuery
server/admin-pest.controller.test.js,loadController
server/admin-pest.controller.test.js,response
server/app.test.js,loadAppWithMocks
server/app.test.js,fakeModule
server/app.test.js,request
server/crop-variety.store.test.js,loadStoreWithMockDb
server/crop-variety.store.test.js,result
server/crop-variety.store.test.js,runQuery
server/store.js,db
server/store.js,getDiseasesAdmin
server/store.js,findDisease
server/store.js,createDisease
server/store.js,updateDisease
server/store.js,deleteDisease
server/store.js,normalizeDiseaseInput
server/store.js,getPestsAdmin
server/store.js,findPest
server/store.js,createPest
server/store.js,updatePest
server/store.js,deletePest
server/store.js,normalizePestInput
server/store.js,getCropTypesAdmin
server/store.js,findCropType
server/store.js,createCropType
server/store.js,updateCropType
server/store.js,deleteCropType
server/store.js,normalizeCropTypeInput
server/store.js,getFarms
server/store.js,findFarm
server/store.js,createFarm
server/store.js,updateFarm
server/store.js,deleteFarm
server/store.js,normalizeFarmInput
server/store.js,getReference
server/store.js,getCropVarieties
server/store.js,getCropVarietiesAdmin
server/store.js,findCropVariety
server/store.js,createCropVariety
server/store.js,updateCropVariety
server/store.js,deleteCropVariety
server/store.js,normalizeParentCropTypeId
server/store.js,normalizeVarietyId
server/store.js,normalizeCropVarietyInput
server/store.js,getReports
server/store.js,findReport
server/store.js,saveReport
server/store.js,updateReport
server/store.js,deleteReport
server/store.js,nextReportId
server/store.js,addPestObservation
server/store.js,addDiseaseObservation
server/store.js,getStats
server/store.js,buildAccessClause
server/store.js,buildWhereClause
server/store.js,canAccessReport
server/store.js,buildReportFilters
server/store.js,normalizePagination
server/store.js,withStoreErrors
server/store.js,normalizeDbError
server/store.js,normalizeReportInput
server/store.js,resolveFarm
server/store.js,resolveCropType
server/store.js,assertCropVariety
server/store.js,normalizeObservationArray
server/store.js,normalizePestObservation
server/store.js,normalizeDiseaseObservation
server/store.js,resolveReferenceName
server/store.js,insertPestObservation
server/store.js,insertDiseaseObservation
server/store.js,refreshReportStatus
server/store.js,normalizeUpdateValue
server/store.js,deriveStatus
server/store.js,enrichReportRow
server/store.js,enrichPestObservation
server/store.js,enrichDiseaseObservation
server/store.js,parseJsonbArray
server/store.js,assertNonEmptyString
server/store.js,optionalString
server/store.js,normalizeSeverity
server/store.js,normalizeDate
server/store.js,normalizeInteger
server/store.js,normalizeOptionalInteger
server/store.js,normalizeOptionalNumber
server/store.js,normalizeLocation
server/store.js,formatDate
server/store.js,formatTimestamp
server/store.js,toNullableNumber
server/store.js,getIsoWeek
server/store.js,makeObservationId
server/admin-reference.controller.test.js,loadController
server/admin-reference.controller.test.js,response
server/admin-crop-type.controller.test.js,loadController
server/admin-crop-type.controller.test.js,response
server/dashboard.js,snapshot
server/db.js,query
server/db.js,transaction
server/db.js,testConnection
server/db.js,getHealth
server/db.js,close
server/workflow.js,canShare
server/workflow.js,nextStageAfterShare
server/workflow.js,verifyTransition
server/workflow.js,expectedVerifierRole
server/workflow.js,expectedRecipientRole
server/workflow.js,roleLabel
server/canonical-observations.js,domain
server/canonical-observations.js,validatePayload
server/canonical-observations.js,insertObservation
server/canonical-observations.js,listObservations
server/canonical-observations.js,fullReport
server/auth.js,registerUser
server/auth.js,loginUser
server/auth.js,logoutSession
server/auth.js,getUserForToken
server/auth.js,getUserById
server/auth.js,authenticate
server/auth.js,authorizeRoles
server/auth.js,extractToken
server/auth.js,createSession
server/auth.js,signAccessToken
server/auth.js,signJwt
server/auth.js,verifyAccessToken
server/auth.js,hashPassword
server/auth.js,verifyPassword
server/auth.js,pbkdf2
server/auth.js,normalizeRegistration
server/auth.js,validatePassword
server/auth.js,normalizeEmail
server/auth.js,resolveRegistrationRole
server/auth.js,sanitizeUser
server/auth.js,formatTimestamp
server/auth.js,isValidDate
server/auth.js,signJwtInput
server/auth.js,getJwtSecret
server/auth.js,encodeBase64UrlJson
server/auth.js,decodeBase64UrlJson
server/auth.js,safeEqual
server/auth.js,assertSessionId
server/auth.js,withAuthErrors
server/farm.store.test.js,loadStoreWithMockDb
server/farm.store.test.js,result
server/farm.store.test.js,runQuery
server/auth.test.js,loadAuthWithMockDb
server/auth.test.js,runQuery
server/auth.test.js,result
server/auth.test.js,rows
server/auth-regression.test.js,loadPageAuth
server/auth-regression.test.js,req
server/auth-regression.test.js,response
server/admin-disease.controller.test.js,loadController
server/admin-disease.controller.test.js,response
server/verification-checklist.js,checklistStageForWorkflow
server/verification-checklist.js,ensureChecklist
server/verification-checklist.js,getChecklist
server/verification-checklist.js,updateChecklist
server/verification-checklist.js,assertChecklistComplete
server/verification-checklist.js,mapItem
server/store.crud.test.js,loadStoreWithMockDb
server/store.crud.test.js,runQuery
server/store.crud.test.js,result
