crop_type,variety
Acorus,Mini Acorus Ogon
Acorus,Mini Acorus Variegatus
Acorus,gramineus Argenteostriatus
Acorus,gramineus Ogon
Acorus,gramineus Variegata
Actinidia,Issai
Actinidia,Jenny
Actinidia,Jerry
Adromischus,cristatus
Adromischus,maculatus
Aeonium,77020001
Aeonium,77020002
Aeonium,77020003
Aeonium,77020004
Aeonium,77020005
Aeonium,77020006
Aeonium,77020007
Aeonium,77020008
Aeonium,77020009
Aeonium,77020010
Aeonium,77020011
Aeonium,77020012
Aeonium,77020013
Aeonium,77020014
Aeonium,77020015
Aeonium,77020016
Aeonium,77020017
Aeonium,77020018
Aeonium,77020019
Aeonium,77020020
Aeonium,77020021
Aeonium,77020022
Aeonium,77020023
Aeonium,77020024
Aeonium,77020025
Aeonium,77020026
Aeonium,77020027
Aeonium,77020028
Aeonium,77020029
Aeonium,77020030
Aeonium,77020031
Aeonium,77020032
Aeonium,77020033
Aeonium,77020034
Aeonium,77020035
Aeonium,77020036
Aeonium,77020037
Aeonium,77020038
Aeonium,77020039
Aeonium,77020040
Aeonium,77020041
Aeonium,77020042
Aeonium,77020043
Aeonium,77020044
Aeonium,77020045
Aeonium,77020046
Aeonium,77020047
Aeonium,77020048
Aeonium,77020049
Aeonium,77020050
Aeonium,77020051
Aeonium,77020052
Aeonium,77020053
Aeonium,77020054
Aeonium,77020055
Aeonium,77020056
Aeonium,77020057
Aeonium,77020058
Aeonium,77020059
Aeonium,77020060
Aeonium,77020061
Aeonium,77020062
Aeonium,77020063
Aeonium,77020064
Aeonium,77020065
Aeonium,77020066
Aeonium,77020067
Aeonium,77020068
Aeonium,77020069
Aeonium,77020070
Aeonium,77020071
Aeonium,77020072
Aeonium,77020073
Aeonium,77020074
Aeonium,77020075
Aeonium,77020076
Aeonium,77020077
Aeonium,77020078
Aeonium,77020079
Aeonium,77020080
Aeonium,77020081
Aeonium,77020082
Aeonium,77020083
Aeonium,77020084
Aeonium,77020085
Aeonium,77020087
Aeonium,77020088
Aeonium,77020089
Aeonium,77020090
Aeonium,77020091
Aeonium,77020092
Aeonium,77020093
Aeonium,77020094
Aeonium,77020095
Aeonium,77020096
Aeonium,77020097
Aeonium,77020098
Aeonium,77020099
Aeonium,77020100
Aeonium,77020101
Aeonium,77020102
Aeonium,77020103
Aeonium,77020104
Aeonium,77020105
Aeonium,77020106
Aeonium,77020107
Aeonium,Activation
Aeonium,Admiration
Aeonium,Adoration
Aeonium,Animation
Aeonium,Aspiration
Aeonium,Beautification
Aeonium,Captivation
Aeonium,Celebration
Aeonium,Creation
Aeonium,Decoration
Aeonium,Exaltation
Aeonium,Exclamation
Aeonium,Fascination
Aeonium,Fluctuation
Aeonium,Graduation
Aeonium,Greenification
Aeonium,Idolization
Aeonium,Illumination
Aeonium,Imagination
Aeonium,Insinuation
Aeonium,Inspiration
Aeonium,Jubilation
Aeonium,Kiwi
Aeonium,Liberation
Aeonium,Realization
Aeonium,Revelation
Aeonium,Sensation
Aeonium,Solarisation
Aeonium,Stripification
Aeonium,Variation
Aeonium,arboreum Velour
Aeonium,davidbramwelli Sunburst
Aeonium,dodrantale
Aeonium,pseudotabulaeforme Lily Pad
Aeschynanthus,Lobbianus Variegatus
Aeschynanthus,Monalisa
Aeschynanthus,Rasta
Aeschynanthus,Twister
Aeschynanthus,Unknown A
Aeschynanthus,Variety 1
Aeschynanthus,Variety 10
Aeschynanthus,Variety 12
Aeschynanthus,Variety 13
Aeschynanthus,Variety 14
Aeschynanthus,Variety 2
Aeschynanthus,Variety 3
Aeschynanthus,Variety 4
Aeschynanthus,Variety 5
Aeschynanthus,Variety 6
Aeschynanthus,Variety 8
Aeschynanthus,Variety E
Aeschynanthus,bolero bicolore
Aeschynanthus,japhrolepis
Aeschynanthus,marmoratus
Aeschynanthus,tradescantia
Agapanthus,Bingo Blue (´Andbin´)
Agapanthus,Black Jack
Agapanthus,Charlotte
Agapanthus,Ever Sapphire
Agapanthus,Ever Sparkle
Agapanthus,Ever White
Agapanthus,Firework
Agapanthus,Midnight Moon
Agapanthus,Midnight Sky
Agapanthus,Poppin Star
Agapanthus,Popping Purple
Agapanthus,Fairy Blue
Agapanthus,Fire Spark
Agave,77030001
Agave,attenuata
Agave,attenuata Shaka Koko
Agave,attenuata Shaka Zulu
Agave,Atte A
Agave,Atte B
Agave,Atte C
Agave,Belicius pink
Agave,Belicius purple
Aloë,77040001
Aloë,77040002
Aloë,77040003
Aloë,77040004
Aloë,77040005
Aloë,77040006
Aloë,77040007
Aloë,77040008
Aloë,77040009
Aloë,77040010
Aloë,77040011
Aloë,77040012
Aloë,aristata
Aloë,aristata Akila
Aloë,aristata Ami
Aloë,aristata Amial Hodi
Aloë,aristata Black Moon
Aloë,aristata Full Moon
Aloë,aristata Lunar Eclipse
Aloë,aristata Moonrise
Aloë,aristata Rising Moon
Aloë,aristata Snow
Aloë,aristata Solar Eclipse
Aloë,aristata Super Moon
Aloë,aristata Zambezi
Aloë,mitriformis
Aloë,vera
Aloë,vera Equator
Aloë,vera Grey
Aloë,vera Meridiaan
Aloë,vera Mistral
Aloë,vera Tropical
Aphelandra,Unknown 1
Arctotis,44928
Arctotis,158-01-24
Arctotis,44943
Arctotis,203-01-25
Arctotis,36549
Arctotis,250-01-25
Arctotis,43-01-24
Arctotis,Fire
Arctotis,Orange Red
Arctotis,Pink
Arctotis,Yellow
Arctotis,ferry bronze
Arctotis,ferry orange
Arctotis,17(01)23
Arctotis,10(01)24
Arctotis,09(01)23
Arctotis,09(02)23
Arctotis,06(01)23
Argyranthemum,Argyranthemum spp
Argyranthemum,Dana
Argyranthemum,Simba Pinke with Eye
Argyranthemum,Simba White
Arrhenatherum,elatius ´Variegatum´
Astelia,Red Shadow
Astelia,Silver Shadow
Bacopa,Arusha White
Bacopa,Cali White
Bacopa,Lima Pink
Bacopa,Riara White
Begonia,77050001
Begonia,77050002
Begonia,77050003
Begonia,77050004
Begonia,77050005
Begonia,77050006
Begonia,77050007
Begonia,77050008
Begonia,Rex Brown Forest
Begonia,boliviensis Bicoulor
Begonia,boliviensis Blush
Begonia,boliviensis Deep Rose
Begonia,boliviensis Light Pink
Begonia,boliviensis Orange
Begonia,boliviensis Red
Begonia,boliviensis Yellow
Begonia,bowerae Spirit of Pagai
Begonia,boweri Spirit of Andaman
Begonia,brevirimosa Botanic
Begonia,cleopatrae Botanic
Begonia,conchifolia Bull´s Eye
Begonia,elatior Dark Red (X255)
Begonia,elatior Pink (X265)
Begonia,elatior Red (X153)
Begonia,elatior White (X265)
Begonia,ferox Botanic
Begonia,listada Botanic
Begonia,maculata
Begonia,maculata Cadbury
Begonia,maculata Fortune
Begonia,maculata Pink Spotted
Begonia,maculata Silver Spotted
Begonia,maculata Spirit of Socotra
Begonia,masoniana Rock
Begonia,rex - free to use
Begonia,rex Blend
Begonia,rex Burdeos
Begonia,rex Chic
Begonia,rex Dark Twirl
Begonia,rex Enchanted
Begonia,rex Green Twirl
Begonia,rex Light green
Begonia,rex Noir
Begonia,rex Otoño
Begonia,rex Rudolf
Begonia,rex Sketch
Begonia,rex Soli Mutata
Begonia,rex Spirit of Bali
Begonia,rex Spirit of Batoe
Begonia,rex Spirit of Celebes
Begonia,rex Spirit of Chagos
Begonia,rex Spirit of Comores
Begonia,rex Spirit of Fiji
Begonia,rex Spirit of Flores
Begonia,rex Spirit of Java
Begonia,rex Spirit of Kalimantan
Begonia,rex Spirit of Kwale
Begonia,rex Spirit of Laccadive
Begonia,rex Spirit of Madagascar
Begonia,rex Spirit of Mafia
Begonia,rex Spirit of Mahe
Begonia,rex Spirit of Maledives
Begonia,rex Spirit of Mauritius
Begonia,rex Spirit of Mayotte
Begonia,rex Spirit of Pemba
Begonia,rex Spirit of Reunion
Begonia,rex Spirit of Samoa
Begonia,rex Spirit of Seychelles
Begonia,rex Spirit of Sri Lanka
Begonia,rex Spirit of Sulawesi
Begonia,rex Spirit of Sumatra
Begonia,rex Spirit of Sunda
Begonia,rex Spirit of Tonga
Begonia,rex Spirit of Zanzibar
Begonia,rex Stella
Begonia,rex Teatro
Begonia,sizemoreae
Bidens,1050-01-23
Bidens,1147-01-23
Bidens,1575-02-23
Bidens,44219
Bidens,471916
Bidens,Accra Red
Bidens,Dakar
Bidens,Dark Orange(964-01-22)
Bidens,Lagos Yellow
Bidens,Light Orange
Bidens,Red Orange 2223-01-23
Bidens,Red Star(592-01-22)
Bidens,Tunis
Bidens,Yellow Red 1664-01-22
Bidens,Yellow Red 209-01-23
Bidens,Yellow Red 2326-02-23
Bidens,ferulifolia
Bidens,3192(01)22
Bidens,2021(01)23
Bidens,675(02)23
Buddleja,Black Knight
Buddleja,Blue Sarah (989)
Buddleja,D. White Profusion
Buddleja,Empire Blue
Buddleja,Forever & Ever White (White Swan)
Buddleja,Lilac Turtle
Buddleja,Nanho Blue
Buddleja,Pink Delight
Buddleja,Purple Lion
Buddleja,Red Dragon (966)
Buddleja,Royal Red
Buddleja,White Swan (725)
Callisia,77060001
Callisia,77060002
Callisia,elegans
Callisia,fragrans
Callisia,fragrans Variegata
Callisia,repens Golden Locks
Callisia,repens Rosato
Callisia,repens Turtle
Callisia,soconuscensis Dragon Tail
Calocephalus,Calocephalus
Carex,Acorus Gramineus Argenteostriatus
Carex,Acorus Gramineus Ogon
Carex,Acorus Gramineus Variegata
Carex,Acorus Variegatus
Carex,BB
Carex,BBT
Carex,Brunnea Albovariegata
Carex,Brunnea Aureomarginata
Carex,Brunnea Aureovariegata
Carex,Brunnea Green
Carex,Brunnea Jenneke
Carex,Brunnea Jubilo
Carex,Brunnea Lady Sunshine
Carex,Brunnea Variegata
Carex,Dianella Blue Stream
Carex,Dianella Revoluta Coolvista
Carex,Evergold
Carex,Evergold-S
Carex,Feather Falls
Carex,Foliosissima Irish Green
Carex,ING
Carex,ING 1
Carex,ING 2
Carex,Ice Dancer
Carex,Lomandra Longifolia White Sands
Carex,MW
Carex,Mini Acorus Ogon
Carex,Mini Acorus Variegatus
Carex,Moon Falls
Carex,Morrowii
Carex,Morrowii Fishers Form
Carex,Morrowii Goldband
Carex,Morrowii Ice Dance
Carex,Morrowii Irish Green
Carex,Morrowii Variegata
Carex,Ophiopogon planiscapens Niger
Carex,RP
Carex,Ribbon Falls
Carex,Uncinia Egmontiana
Carex,Uncinia Everflame
Carex,Uncinia Rubrum
Carex,oshimensis Evergold
Carex,oshimensis Evergold-S
Carex,No label 1
Carex,No label 2
Carex,No label 3
Carex,trial varieties
Carex,Miscanthus
ce,Bracteatum Granvia Gold
Celosia,Floriosa
Celosia,Intenz Dark Purple
Celosia,Intenz Improved
Celosia,Intenz Red Pink
Celosia,Intenz White
Celosia,Papaya
Celosia,Twisted Alpha Pink Bright
Celosia,Twisted Amethyst Exp.
Celosia,Twisted Honey
Celosia,Twisted Lime
Celosia,Twisted Orange
Celosia,Twisted Orange Bright
Celosia,Twisted Orange Dark Leaf
Celosia,Twisted Red Current
Celosia,Twisted Red Strawberry
Ceropegia,Bicolor
Ceropegia,linearis
Ceropegia,linearis String of Needles
Ceropegia,linearis variegata
Ceropegia,sandersonii
Ceropegia,woodii
Ceropegia,woodii Green Love
Ceropegia,woodii Ministar
Ceropegia,woodii Silver
Ceropegia,woodii String of Arrows
Ceropegia,woodii Todd Morrowii
Ceropegia,woodii Variegata Purple
Ceropegia,woodii variegata
Chlorophytum,comosum Atlantic
Chlorophytum,comosum Bonnie
Chlorophytum,comosum Bonnie Green
Chlorophytum,comosum Green
Chlorophytum,comosum Green 2
Chlorophytum,comosum Hawaiian
Chlorophytum,comosum Irish
Chlorophytum,comosum Lemon
Chlorophytum,comosum Ocean
Chlorophytum,comosum Ocean SINGLE
Chlorophytum,comosum Reverse Variegatum
Chlorophytum,comosum Variegatum
Chlorophytum,comosum Variegatum (SINGLES)
Chlorophytum,comosum Variegatum Maria
Chlorophytum,saundersiae Starlight
Chlorophytum,Unknown 2
Chlorophytum,Unknown B
Chrysanthemum,20.4056.012
Chrysanthemum,20.4056.016
Chrysanthemum,20.4056.025
Chrysanthemum,20.4056.034
Chrysanthemum,77320001
Chrysanthemum,77320002
Chrysanthemum,77320003
Chrysanthemum,77320004
Chrysanthemum,77320005
Chrysanthemum,77320006
Chrysanthemum,77320007
Chrysanthemum,77320008
Chrysanthemum,77320009
Chrysanthemum,77320010
Chrysanthemum,77320011
Chrysanthemum,77320012
Chrysanthemum,77320013
Chrysanthemum,77320014
Chrysanthemum,77320015
Chrysanthemum,77320016
Chrysanthemum,77320017
Chrysanthemum,77320018
Chrysanthemum,77320019
Chrysanthemum,77320020
Chrysanthemum,77320021
Chrysanthemum,77320022
Chrysanthemum,77320023
Chrysanthemum,77320024
Chrysanthemum,77320025
Chrysanthemum,77320026
Chrysanthemum,77320027
Chrysanthemum,77320028
Chrysanthemum,Acosta
Chrysanthemum,Alonso
Chrysanthemum,Amethist Dark
Chrysanthemum,Amethist Yellow
Chrysanthemum,Annalee
Chrysanthemum,Annamay
Chrysanthemum,Biondi
Chrysanthemum,Calimero Dark Pink
Chrysanthemum,Calimero Pink
Chrysanthemum,Calimero Shiny
Chrysanthemum,Calimero Snow
Chrysanthemum,Calimero Sunny
Chrysanthemum,Capriati Purple
Chrysanthemum,Collin
Chrysanthemum,Da Vinci Solo
Chrysanthemum,Daniela
Chrysanthemum,Della Mea
Chrysanthemum,Dragona
Chrysanthemum,Ellison Orange
Chrysanthemum,Ellison Pink
Chrysanthemum,Ellison Salmon
Chrysanthemum,Ellison Sweet
Chrysanthemum,Enya
Chrysanthemum,Enya Bronze
Chrysanthemum,Enya Light Pink
Chrysanthemum,Enya Salmon
Chrysanthemum,Garrix
Chrysanthemum,Halloween
Chrysanthemum,Karymsky
Chrysanthemum,Lovato Apricot
Chrysanthemum,Lovato Pink
Chrysanthemum,Lovato Purple
Chrysanthemum,Lualdi
Chrysanthemum,Mahon
Chrysanthemum,Maranello
Chrysanthemum,Marverick White
Chrysanthemum,Maverick Alpha White Exp. (N)
Chrysanthemum,Mihara
Chrysanthemum,Miller Apricot
Chrysanthemum,Miller Lavender
Chrysanthemum,Miller Pearl
Chrysanthemum,Miller Smokey
Chrysanthemum,Miller Sweet
Chrysanthemum,Miller White
Chrysanthemum,Miller Yellow
Chrysanthemum,Moreira
Chrysanthemum,Mygo
Chrysanthemum,Okada
Chrysanthemum,Omaira
Chrysanthemum,Patrese Pink
Chrysanthemum,Patrese Sunny
Chrysanthemum,Patrese White
Chrysanthemum,Pristine Bronze
Chrysanthemum,Pristine Orange
Chrysanthemum,Pristine Pink
Chrysanthemum,Pristine Red
Chrysanthemum,Ramazzotti
Chrysanthemum,Rosella
Chrysanthemum,Rossi Cream
Chrysanthemum,Rossi Cream (N)
Chrysanthemum,Rossi Lobster (N)
Chrysanthemum,Rossi Orange (N)
Chrysanthemum,Rossi Pink
Chrysanthemum,Rossi Pink (N)
Chrysanthemum,Rossi Salmon
Chrysanthemum,Rossi Salmon (N)
Chrysanthemum,Rossi Smokey (N)
Chrysanthemum,Rossi Splendid
Chrysanthemum,Rossi Splendid (N)
Chrysanthemum,Rossi Sunny (N)
Chrysanthemum,Rossi White
Chrysanthemum,Rossi White (N)
Chrysanthemum,Rumba
Chrysanthemum,Salvador
Chrysanthemum,Sato
Chrysanthemum,Sheila
Chrysanthemum,Surange
Chrysanthemum,Tennessee
Chrysanthemum,Thalys
Chrysanthemum,Valerio Apricot
Chrysanthemum,Valerio Pink
Chrysanthemum,Valerio Purple
Chrysanthemum,Valerio Red
Chrysanthemum,Valerio Shiny
Chrysanthemum,Vallato
Chrysanthemum,Vallato Sunny
Chrysanthemum,Vasole
Chrysanthemum,Zarco
Chrysanthemum,Zucherro
Chrysanthemum,Valerio Sunny
Chrysanthemum,Miller Sunny
Clematis,Alpina Imke
Clematis,Armandii Apple Blosom
Clematis,Avalache
Clematis,Corinae
Clematis,Giselle
Clematis,Hagley Hybrid
Clematis,Miss Bateman
Clematis,Montana Fincent
Clematis,Montana Rubens
Clematis,Nelly Moser
Clematis,Rouge Cardinal
Clematis,Samaritan
Clematis,The President
codonanthe,gracilis
Columnea,77400008
Columnea,77400011
Columnea,77400012
