column,source_heading,database_key,domain,proposed_type,normalization_required,status,notes
A1,WEEK,week,report_header,integer,True,PROPOSED_PENDING_BUSINESS_APPROVAL,Source heading retained.
B1,Farm,farm,report_header,string,True,PROPOSED_PENDING_BUSINESS_APPROVAL,Maps to farm reference; confirm whether source value is farm ID or display code.
C1,GH,gh,report_header,string,True,PROPOSED_PENDING_BUSINESS_APPROVAL,Greenhouse identifier.
D1,Inpl. wk-year,inplanting_week_year,report_header,string,True,PROPOSED_PENDING_BUSINESS_APPROVAL,Preserve source format such as 40/25 until business-approved parsing is defined.
E1,Crop,crop,report_header,string,True,PROPOSED_PENDING_BUSINESS_APPROVAL,Maps to crop reference.
F1,Variety,variety,report_header,string,True,PROPOSED_PENDING_BUSINESS_APPROVAL,Maps to crop variety reference; source contains free-text/encoded values.
G1,Thrips_Larvae,thrips_larvae,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
H1,Thrips_adults,thrips_adults,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
I1,LEAF MINER_feeding point,leaf_miner_feeding_point,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
J1,LEAF MINER_complete mines,leaf_miner_complete_mines,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
K1,White fly_eggs,white_fly_eggs,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
L1,White fly_adult,white_fly_adult,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
M1,Aphids_nymphs,aphids_nymphs,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
N1,Aphids_adult,aphids_adult,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
O1,Spider mite_eggs,spider_mite_eggs,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
P1,Spider mite_adults,spider_mite_adults,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
Q1,Beetles_countimg,beetles_counting,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation. Source spelling appears to be 'countimg'; proposed canonical key uses 'counting'."
R1,Cater pillar_spots,caterpillar_spots,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation. Proposed key removes source spacing in organism name."
S1,Butter-flies_counting,butterflies_counting,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
T1,Sciara fly_spots,sciara_fly_spots,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
U1,Cut worms_counting,cut_worms_counting,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
V1,Mealy bugs_spots,mealy_bugs_spots,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
W1,Slugs_counting,slugs_counting,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
X1,Snails_counting,snails_counting,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
Y1,Nema- todes_spots,nematodes_spots,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation. Proposed key removes source hyphenation."
Z1,Chlo- rosis_spots/MP,chlorosis_spots_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation. Proposed key removes source hyphenation and slash for database safety."
AA1,Fusarium_MP,fusarium_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AB1,Rhyzoc tonia_MP,rhizoctonia_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation. Source spelling is preserved; proposed key uses the conventional 'rhizoctonia' spelling only as a technical key."
AC1,Powdery mildew_MP,powdery_mildew_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AD1,Botrytis_spots/MP,botrytis_spots_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AE1,Leafspot_Black,leafspot_black,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AF1,Leafspot_Brown,leafspot_brown,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AG1,Flower buds_Cuttings,flower_buds_cuttings,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AH1,Chem. Damage_MP,chemical_damage_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AI1,Virus doubt_MP,virus_doubt_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AJ1,Mix_MP,mix_mp,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AK1,Dry spots_Bags/spots,dry_spots_bags_spots,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
AL1,Others,others,observation,number_or_text,True,PROPOSED_PENDING_BUSINESS_APPROVAL,"Observation field. Confirm whether blank means zero, not observed, or not applicable before enforcing numeric validation."
